,LN_F1_121_d,LN_F1_201_b,LN_F1_201_k,LN_F1_201_n,LN_F1_202_b,LN_F1_202_k,LS_F1_202_g,LS_F1_202_k,LS_F1_206_e,LS_F1_206_n,LS_F1_207_c,LS_F1_208_b,ML_F1_10_a,ML_F1_201_d,ML_F1_205_b,ML_F1_205_c,ML_F1_208_b,ML_F1_8_c,PO_006,PO_045,PO_051,PO_14,PO_19,PO_48
Actl6a,3.691938787,4.122902324,3.826349139,4.791425141,4.295222925,4.51895012,5.235264753,3.522064715,4.657186434,4.532658976,4.405352173,4.437426095,5.085412132,4.335671311,4.827427718,5.052058426,5.104030055,4.667483333,4.858228257,3.91101245,4.303144407,4.608429072,4.258731964,4.373567006
Actn1,4.380422216,3.014743213,4.244972264,4.431471934,3.473845058,5.332316308,4.15292432,3.853482834,3.158357106,4.05349137,4.201646476,5.774463555,3.382487861,3.509641011,2.735979671,4.218008331,3.66760506,3.506727023,3.981518109,3.198751805,4.303144407,3.576893918,3.749749063,3.584266797
Actn2,9.719110404,10.00233417,9.961844399,10.39426593,10.89525745,10.39653088,10.11171661,9.525262665,10.32672011,10.60328773,10.36494699,9.453042617,4.191381344,4.456267647,3.003647009,5.486340434,3.66760506,4.452940978,10.36720656,9.815108617,10.12964287,10.2992761,9.882888142,10.62220086
Actn3,12.58936955,12.52524129,12.64089021,12.28317746,12.14787544,12.10743111,12.29990821,12.63423275,11.88646173,11.81760101,12.2080645,12.07667932,9.286882128,9.62474868,9.85717039,8.789446822,9.370291491,9.108905404,12.13405538,12.1949658,12.21633534,11.94173515,12.24196135,12.09692833
Actr10,5.644183438,6.075157222,6.445986394,5.663794331,6.201841237,6.391342717,6.496466585,6.369658809,6.004060231,6.107128715,5.97835816,6.048438707,1.961451423,1.371671746,1.980332119,1.371671746,1.371671746,1.371671746,5.685369704,6.545929816,6.039689667,6.08757546,6.060454021,6.096626362
Actr1a,5.885849448,6.323004943,6.030169834,6.449724367,5.428636298,6.160708554,6.399881342,5.917434154,6.281085984,6.357824755,6.318130713,6.155285714,6.828689277,6.892054794,6.548172341,6.36980375,6.954486306,6.888365269,6.155275647,6.098602179,6.405045478,6.376112215,6.287628468,6.490792926
Actr1b,6.092782602,5.87359916,6.05998079,6.407316542,6.173729549,6.75160635,5.069325575,4.182958257,5.391935918,5.741869805,5.77283054,5.652081832,6.029358088,6.635293156,6.193984704,6.50319755,6.079876393,6.186238391,6.5904973,6.159017828,6.537136776,6.488823095,6.325347675,6.69169833
Actr2,6.269863821,6.329524956,6.472164432,6.544146973,6.722068069,6.856244297,6.137697596,6.190791758,6.187009377,6.218494279,6.084403419,7.024614692,6.535418635,6.673115027,6.439493026,7.183209168,6.962870196,6.350455683,5.985213945,6.594208826,6.465250378,5.678488579,6.136688534,5.787219757
Actr3,5.608671827,5.670699928,5.4881839,5.985405385,5.821840029,6.024421366,5.555284069,5.807095111,6.02427858,6.126554211,5.589906926,7.47668177,5.670742351,5.964407461,5.437354286,6.150696351,5.916833752,5.483052824,5.826373125,5.751514072,5.463277246,5.593239891,5.763477048,5.552521207
Actr8,4.539751014,4.856047509,4.526974853,4.513727194,5.196869963,4.72241615,4.56290408,4.545673745,4.938601647,4.532658976,4.4673277,3.810984734,3.968647162,4.567556256,3.749834074,4.694484842,4.317295203,3.895122139,4.097374823,4.781261694,4.800468942,4.88681567,4.178565768,4.225980678
Acvr1b,5.070194693,5.279887525,5.301144654,5.471375667,4.815367332,4.422124133,4.699025137,3.994421857,4.433558258,4.532658976,5.245389091,4.741725074,4.706569482,4.767279962,4.7567117,4.218008331,5.163433168,5.236616384,5.25742611,5.122040199,5.274281034,5.120074776,5.894719355,5.422950345
Acvr2a,5.146470047,5.701491844,5.301144654,5.097516697,6.359895807,5.591744938,6.296363,6.493583243,6.004060231,5.449669337,5.913049005,5.596278199,5.139900778,5.305807644,5.897952883,5.577172877,4.977340722,5.095573454,5.529077394,5.346460756,5.274281034,5.203751949,5.389089122,5.177215762
Acvr2b,4.933359729,4.410673645,4.762764897,5.386596534,4.186875727,4.970844111,5.142791048,4.349679511,5.496945018,4.797931756,5.561773476,4.992885909,4.96984297,5.458003508,5.136805823,4.773441419,4.977340722,4.76386698,4.790986096,4.9952172,5.274281034,5.24383822,5.492180325,5.329617021
Acy1,3.882409289,3.198661826,3.601561341,3.805470524,3.647418746,4.422124133,3.263597469,3.697269657,3.424878207,3.576782079,4.126809047,4.257242644,1.371671746,1.371671746,1.371671746,2.015882001,1.371671746,1.371671746,4.204615229,4.702259267,4.976269969,4.608429072,4.475533212,4.668578083
Acyp1,5.840646706,5.434520934,5.904355553,4.927885035,7.336988034,6.391342717,7.61984054,7.179845463,6.499014033,7.977763283,7.486353807,6.325112205,8.698868102,8.194999267,8.01076521,7.505783255,7.89623398,6.656942377,4.720455994,4.9952172,5.205348672,5.162519943,4.931894548,5.329617021
Acyp2,7.587081885,7.406159105,7.49158369,7.758503978,8.318993452,6.938247771,7.955064446,8.189081738,7.769256308,7.801654416,7.911120642,6.871145788,8.086377192,7.821168495,8.08480175,7.740057893,7.922262026,7.78335188,7.71399308,7.646780572,7.690871845,7.433636787,7.827289175,7.245534744
Adam10,5.678841896,5.87359916,5.692314328,5.734108179,5.542935482,5.67814554,5.692092865,5.255091968,5.209731547,5.623806554,6.158223986,6.456288205,5.70728661,5.836915418,5.962218461,5.819693209,6.481049885,5.365090152,5.154181675,5.628713009,5.463277246,5.529803451,5.557030111,5.377038311
Adam17,4.462284998,3.641285815,4.762764897,4.591544559,5.355441186,4.206483745,4.991917395,4.872277635,4.757216113,4.644685551,5.209572408,4.741725074,4.084308414,3.898238637,4.015164667,4.326724518,3.493364246,3.895122139,4.485468926,4.702259267,4.367658392,4.411320956,4.258731964,4.002304404
Adam23,4.462284998,3.875341429,3.89411593,4.045594184,3.647418746,3.525689529,3.076286579,4.122809418,1.804663645,2.859954861,4.638721061,1.948471605,4.191381344,4.857647467,5.79584564,3.303134535,4.601275842,4.200825396,5.306403629,6.035545508,5.521147597,5.162519943,5.817414916,6.009031922
Adamts1,5.534913545,5.359275011,5.936852609,5.985405385,5.404648189,6.200178409,3.712790546,6.428734224,5.920228338,5.787248924,4.583821633,6.325112205,5.139900778,5.791785176,6.297252919,6.468023318,4.601275842,4.667483333,5.353772878,5.06002183,5.463277246,3.445554571,3.693169672,3.412839399
Adamts5,5.416684325,3.979516106,5.086192952,5.471375667,4.740683721,5.467854162,4.762553989,5.255091968,4.239676365,5.062828825,4.405352173,3.673931352,5.670742351,5.486606676,6.346241137,5.703523082,5.522248507,6.039920515,4.097374823,3.838977715,4.090246198,3.808366941,3.441651392,4.419587897
Adamtsl4,3.882409289,5.761171546,4.609927818,5.200448323,5.66911918,3.857323664,5.279369826,5.46345105,5.87641194,5.677475209,5.135155756,3.93614039,2.378891492,2.120376957,1.371671746,2.015882001,2.011990664,1.371671746,6.354725553,6.939507405,7.108637014,6.330303912,5.894719355,6.447022252
Adamtsl5,3.47244071,4.552542462,3.00818356,4.431471934,2.440584855,5.101659137,4.41258887,3.994421857,4.980596039,5.38661718,2.42710632,3.673931352,2.966252568,3.267415073,2.407074161,3.501713369,2.011990664,3.264657852,5.64785514,5.397506087,5.731879612,5.899618205,5.198990914,5.510610733
Adarb1,3.47244071,4.076672438,4.345223994,4.431471934,5.251686577,3.64490757,4.331118661,4.797293935,4.168792015,4.132479623,3.326085626,4.808731913,4.384282689,4.767279962,4.89483884,4.326724518,4.208688631,4.667483333,2.976575554,4.225445805,5.205348672,4.26316196,3.572884791,4.326029573
Adcy2,6.869018015,7.723678544,7.22832288,7.148201851,7.349607718,7.134378127,7.170705684,7.785594629,7.51441295,7.668837614,7.752151931,7.005747215,7.292726998,6.82643659,7.260598422,7.046828065,7.229272493,7.327396316,6.550397079,6.129126233,6.389593331,6.631636161,6.641676891,6.355283479
Adcy4,3.47244071,3.875341429,5.573332112,4.34424182,5.196869963,4.422124133,4.56290408,4.240699416,4.168792015,4.346400422,4.047876135,4.67145383,3.842898754,4.20406705,3.229339583,4.694484842,4.763639103,4.332383444,1.371671746,1.371671746,2.135319246,1.371671746,1.371671746,1.371671746
Adcy6,3.758262607,4.410673645,4.137230398,5.097516697,4.815367332,4.775642062,4.632569424,4.634513394,4.307240435,4.411195515,5.314460419,4.872764222,4.084308414,3.898238637,2.735979671,4.694484842,4.512684531,4.667483333,4.097374823,4.435418855,4.367658392,3.576893918,4.541118774,4.326029573
Adcy9,5.534913545,5.10666787,5.397693262,5.429608761,6.0859504,5.499838461,5.625309534,5.197935486,5.407413337,5.102608715,6.158223986,5.156172011,6.555602126,6.685505138,6.849411869,6.913730552,6.813261441,6.822750894,5.444086196,5.397506087,5.274281034,5.948952607,5.458628493,5.0067929
Add1,6.569901191,6.785018503,6.985873623,6.680913717,6.145059186,6.961403968,5.692092865,5.255091968,6.083287192,6.087438086,6.176892167,6.155285714,6.671109975,6.529301264,6.527081577,6.208670987,6.281014339,6.151026479,6.775809612,6.035545508,6.450433048,6.631636161,6.53303672,6.490792926
Add3,4.813704698,6.075157222,5.766511877,4.986673129,6.039973222,6.109802494,5.404129634,5.917434154,5.736363417,5.215762348,6.100724775,7.154842362,5.19240614,5.880676619,5.294892387,5.338376421,5.693232269,5.538603881,5.792393089,5.864677402,6.259629872,5.76835472,5.619089835,5.915773357
Adgre5,6.838685258,6.785018503,6.468390154,6.569945057,5.452232064,6.612252846,6.379763382,5.76835694,5.8080864,6.164637708,6.301213769,6.497490596,5.292010108,5.836915418,5.294892387,5.620530825,6.198220751,5.643673547,6.258444556,6.428124066,6.189976647,6.60109923,6.380139501,6.205713852
Adgrf5,6.06684724,5.151961278,5.397693262,6.013949668,6.479547689,5.296344368,5.932031498,5.511156552,6.700917547,6.769697713,6.266772891,6.205881216,1.961451423,1.371671746,1.371671746,1.371671746,1.371671746,2.118851082,6.044156848,6.098602179,5.521147597,6.065377006,5.735732555,5.377038311
Adgrg1,4.813704698,4.681701026,5.301144654,5.663794331,5.628272056,5.259452523,4.991917395,5.011477698,5.78457271,6.390330521,4.839544029,6.180805253,4.191381344,5.240129633,3.953265262,6.222807806,4.801527271,5.269823218,6.307388092,5.751514072,5.958236032,6.019928358,5.619089835,5.467446234
Adgrl1,4.87477236,4.681701026,5.027049378,4.665378488,4.069726052,4.826973959,4.937903776,4.240699416,4.015633207,3.881222532,4.340594321,5.557839351,3.552811906,2.610805952,3.596298156,3.303134535,3.66760506,3.895122139,3.717496546,4.529956688,4.976269969,3.576893918,3.907279642,3.875955929
Adgrl2,4.68322075,4.253317193,4.68836933,5.386596534,4.954049872,3.857323664,4.331118661,4.451002368,4.094244105,4.748636477,3.5715735,4.872764222,4.384282689,2.610805952,1.371671746,4.522291406,4.418295126,3.264657852,3.981518109,3.979620845,3.746479132,4.182956258,3.907279642,4.668578083
Adgrl4,5.457180207,4.681701026,4.609927818,4.513727194,3.473845058,5.015780036,4.331118661,4.545673745,4.015633207,4.05349137,4.742624044,4.872764222,3.705134155,4.05924156,3.229339583,4.326724518,4.091235642,3.713955523,4.568124372,3.508380306,4.367658392,3.911518911,3.297274961,4.590260786
Adh5,6.727197819,6.922058231,6.768381724,6.880121468,6.946340131,6.567679583,6.672166107,6.445283195,6.855610045,6.888242155,6.991261974,6.782246381,7.19317426,7.315248245,7.417824183,7.139165899,7.052013854,6.888365269,6.722671602,6.904643672,6.769778524,6.505407491,6.415544432,6.447022252
Adhfe1,6.569901191,6.251976675,7.412910466,6.148768222,5.821840029,7.32497372,5.043981545,5.226796761,5.634824947,6.640533502,6.266772891,7.316107323,1.371671746,2.120376957,1.371671746,1.371671746,1.371671746,1.371671746,6.758313511,7.006804806,7.351290326,6.981418483,6.731511384,6.916966207
Adi1,6.727197819,6.446298369,6.616170989,6.223998762,6.309110877,5.499838461,6.533360054,6.802415832,5.993843799,6.087438086,6.383881963,6.155285714,6.970739176,6.709970633,7.406319866,6.878444968,7.186957532,6.909589926,6.181767741,6.904643672,6.450433048,6.69083677,6.564920453,6.282436104
Adipoq,1.371671746,2.258666846,2.410505381,4.431471934,4.578610645,5.561755311,4.991917395,3.697269657,4.094244105,3.881222532,5.015797717,6.687507137,1.371671746,1.371671746,4.3393853,2.798554001,3.295151229,1.371671746,4.568124372,6.051569932,5.958236032,2.753005697,3.693169672,3.584266797
Adipor1,8.343520012,8.310253121,8.587342887,8.082043885,8.209025306,7.896157991,8.139859105,7.959023828,8.227287429,8.508657664,8.247711839,8.235996798,7.73462758,7.392856255,7.721520803,7.523023178,7.399521866,7.682151178,7.806274583,7.924219144,7.734336115,8.037275488,8.131359923,7.752066247
Adipor2,7.283574948,6.922058231,7.267178196,6.895544252,6.912717872,7.061239616,7.135144111,7.179845463,6.832864337,7.203853382,6.915473913,7.075432993,8.079423766,7.960233167,8.162080366,7.941550848,8.305152182,7.986773585,6.99332672,6.973548472,6.769778524,7.037230267,7.320677651,7.180199325
Adk,5.195168206,5.470721589,5.250334047,4.665378488,6.229415607,5.101659137,5.363730031,6.395309929,6.176568963,6.201741697,5.735537987,5.757603317,5.514539107,5.647250364,4.959240231,5.532471392,5.328241022,5.538603881,7.101353516,7.162475535,7.269234559,6.719550332,6.913403606,6.995031473
Adnp2,3.882409289,4.076672438,2.740076324,4.152161782,3.80233416,3.25288334,3.712790546,3.994421857,4.168792015,4.05349137,3.454044779,4.437426095,3.552811906,4.670871519,4.89483884,3.831907934,4.601275842,3.895122139,4.304432686,3.508380306,4.703822401,4.545671673,3.907279642,4.326029573
Ado,5.534913545,5.900388524,5.4881839,6.174283445,6.256472814,5.401676334,6.184838706,6.08442733,6.083287192,6.357824755,6.462068796,5.255589543,6.924925853,7.216247795,6.832319206,7.139165899,6.79459517,6.800199101,5.892022513,5.864677402,6.189976647,5.996655602,6.343843797,6.038824924
Adprh,5.712687236,5.926689492,6.352721211,6.174283445,5.139887991,5.531129025,6.569333538,5.986567715,6.378540003,6.164637708,6.081037586,5.902689403,6.940359173,6.913280653,6.979318108,6.68777992,6.83168928,6.777289179,5.954814117,6.217004818,5.871906941,6.292580335,6.082649449,6.124681228
Adprhl1,5.809705031,7.08272267,6.922376011,7.500595457,7.504345128,7.279633072,5.755921042,6.956824248,6.750305679,7.477865995,6.249239141,4.872764222,5.139900778,4.767279962,5.020889196,6.394992615,4.763639103,5.236616384,5.792393089,5.935470993,5.521147597,6.1937162,6.325347675,6.424628634
Adprs,4.87477236,4.681701026,4.438959657,3.668541594,4.740683721,3.857323664,4.632569424,4.122809418,4.168792015,4.411195515,4.526750171,4.519726227,5.47269483,5.595664734,5.343959476,5.577172877,5.104030055,5.365090152,4.397788606,4.529956688,4.367658392,4.098027721,4.72168399,4.507446727
Adrb2,5.608671827,6.098481619,5.443647949,5.296522642,4.88637436,4.826973959,4.489703269,6.692909071,5.760669425,5.650890428,5.380375387,6.517658765,6.166913747,6.081542043,6.483951906,5.703523082,6.226349861,6.151026479,5.206727264,6.129126233,5.463277246,5.120074776,5.707444028,4.945197493
Adrm1,7.249393839,7.630746545,7.341883672,7.259668031,7.258859991,7.103485927,7.098683765,7.209067246,7.248311882,7.128778779,7.15085812,7.115683969,7.595334966,7.667255035,7.833132844,7.749853753,7.758546554,7.433777637,7.020440806,6.575711343,7.208885843,6.973095818,6.99559679,6.865191258
Adsl,7.75403556,8.218493215,8.10149944,7.781099639,7.903146617,7.602651102,7.686052758,8.035239739,7.968656395,7.623753771,7.460682673,7.582909171,6.430035042,6.842016608,6.607647692,6.394992615,6.601923128,6.827219256,7.817299935,7.928564196,7.631680341,7.611921563,7.700981878,7.752965259
Adss1,10.40512597,10.23980544,10.35204705,10.38610004,10.40544332,10.37621252,3.949577107,4.122809418,4.371781404,4.132479623,4.691607738,4.257242644,1.961451423,1.371671746,1.371671746,1.371671746,1.371671746,1.371671746,9.854667744,9.742930666,9.982909382,9.607941204,9.791516926,9.645293578
Adss2,4.923566234,4.892265673,4.986021845,5.551448111,4.443863837,5.473341763,4.331118661,5.097126755,3.917867494,4.697597062,3.326085626,5.531500185,4.291053699,5.022991025,5.391412504,4.522291406,4.208688631,4.564196545,4.68385431,5.346460756,5.095351342,4.835270768,5.071615104,5.094519336
Aebp1,3.622418372,4.253317193,4.137230398,5.200448323,3.942216125,5.43514467,4.881788998,4.545673745,4.168792015,4.132479623,4.201646476,4.67145383,4.908390454,4.335671311,4.131524061,4.919465401,5.37924306,4.452940978,4.568124372,4.334248956,4.891045601,2.959691519,4.003488975,3.412839399
Aebp2,5.958175695,6.027345731,5.766511877,5.699379581,6.359895807,5.75966283,5.189768695,5.46345105,4.938601647,4.411195515,5.135155756,5.156172011,5.70728661,5.595664734,5.778102418,5.994666949,5.95094971,5.960792165,5.25742611,5.751514072,5.402988203,5.84853685,5.278060465,5.422950345
Afap1l1,5.958175695,4.909775724,5.250334047,5.097516697,4.395998511,5.367413106,5.625309534,5.011477698,5.244617274,5.449669337,5.280338078,6.230528761,1.371671746,1.371671746,1.980332119,1.371671746,1.371671746,1.371671746,6.014986397,6.067418323,5.780081376,5.740605498,6.168166339,6.282436104
Afdn,5.840646706,5.639236451,5.936852609,5.801153754,5.542935482,6.170677713,6.379763382,6.205366195,6.15838889,6.357824755,6.64749997,5.302841901,5.19240614,6.00451836,6.548172341,5.892248445,5.163433168,5.592095014,6.044156848,6.272750888,6.592173362,6.109437521,5.735732555,6.205713852
Aff1,6.143295166,6.063352073,6.741038671,6.122793604,6.843027204,6.521685167,6.908169896,7.064668881,6.314307498,6.192554778,6.521703844,5.557839351,6.836958776,6.995192565,7.446189912,7.038859693,6.803958494,7.177973651,5.444086196,5.790229872,5.521147597,5.948952607,5.458628493,5.122614808
Aff4,7.316964928,6.785018503,6.922376011,7.055130212,7.324256987,7.261090156,7.239302452,7.165009575,6.995310268,7.351488716,6.996526059,7.576193792,5.950152562,5.697054976,6.023742965,5.892248445,6.253940993,5.592095014,7.030241751,7.117512236,6.990693085,7.198904523,6.483849692,6.932920853
Afg1l,4.613268578,4.253317193,4.244972264,4.802594113,3.473845058,4.422124133,3.42935998,3.522064715,3.424878207,3.969926702,3.781300727,4.808731913,3.968647162,4.05924156,4.3393853,4.848300119,2.7917612,3.895122139,5.444086196,5.06002183,5.205348672,5.24383822,5.198990914,5.632857495
Afg3l2,6.898726135,6.855164909,6.889547467,7.21118744,6.672704395,6.506021966,6.569333538,6.115625698,6.700917547,6.75728941,6.763201587,6.278595458,1.961451423,2.120376957,1.980332119,2.015882001,3.065301303,1.371671746,7.087408815,7.147642929,7.08963719,7.188672025,7.07712222,7.139528954
Aftph,4.989660443,5.23849314,5.301144654,5.865221434,5.708841567,5.531129025,5.555284069,5.728549833,5.58124366,5.677475209,5.697255813,5.871685468,1.371671746,2.976147538,2.209424473,1.729439654,1.727067909,1.371671746,5.892022513,5.711730587,5.731879612,5.623941869,5.991742288,5.280583863
Aga,6.393331841,6.66516776,6.655755476,6.680913717,7.162018651,6.303462267,6.137697596,6.493583243,6.281085984,6.483671692,7.06326664,6.435237172,7.328356735,7.072702572,6.994763787,6.747670793,7.128534903,6.656942377,6.740602621,7.24840464,7.269234559,6.705264984,6.756577919,6.746892153
Agap1,5.572263999,5.670699928,5.573332112,5.511967341,5.926627191,5.499838461,5.786806479,5.602080963,4.980596039,5.650890428,6.040838441,5.477745653,4.138837984,3.810456114,3.512933573,4.378157199,4.512684531,4.452940978,5.529077394,4.107762856,5.205348672,5.393894627,5.15776935,5.74554999
